Date,Month,Views,Average_View_Duration,Subscribers_Gained,Watch_Time_Hours,Revenue,Age_Group,Gender,Device,Source,Country
01-01-25,Jan,615,10,38,212,1581,45-54,Male,Mobile,YouTube Search,United States
02-01-25,Jan,4667,21,0,349,750,35-44,Female,Mobile,Browse Features,United States
03-01-25,Jan,2218,41,-1,210,737,18-24,Female,Desktop,Browse Features,United States
04-01-25,Jan,1077,15,41,40,2059,18-24,Male,Tablet,Suggested Videos,United States
05-01-25,Jan,868,10,49,175,256,25-34,Male,Mobile,YouTube Search,United States
06-01-25,Jan,1974,31,3,161,117,25-34,Male,Mobile,Direct,United States
07-01-25,Jan,702,22,9,288,695,35-44,Female,Mobile,YouTube Search,United States
08-01-25,Jan,3117,27,2,142,1330,18-24,Male,Mobile,YouTube Search,United States
09-01-25,Jan,1448,17,28,212,1040,55+,Male,Mobile,External,United States
10-01-25,Jan,707,18,39,28,1475,45-54,Female,Mobile,YouTube Search,United States
11-01-25,Jan,3027,22,-5,146,1529,13-17,Male,Mobile,External,United States
12-01-25,Jan,4138,3,30,97,2309,35-44,Male,Mobile,Browse Features,United States
13-01-25,Jan,1141,34,6,125,1659,25-34,Male,Mobile,Suggested Videos,United States
14-01-25,Jan,1519,9,28,182,1282,18-24,Female,Mobile,Direct,United States
15-01-25,Jan,4487,3,27,369,1016,25-34,Male,Desktop,Channel Pages,United States
16-01-25,Jan,3284,17,36,444,2376,25-34,Male,Mobile,YouTube Search,United States
17-01-25,Jan,1578,22,17,113,1396,18-24,Male,TV,YouTube Search,United States
18-01-25,Jan,4657,36,48,245,259,18-24,Male,Mobile,Direct,United States
19-01-25,Jan,4367,37,22,335,1699,18-24,Male,Desktop,External,United States
20-01-25,Jan,546,41,34,371,1298,25-34,Female,Desktop,Direct,United States
21-01-25,Jan,2974,27,36,162,416,45-54,Male,Mobile,Suggested Videos,United States
22-01-25,Jan,2056,18,29,402,1404,35-44,Male,Desktop,Browse Features,United States
23-01-25,Jan,1519,29,50,278,622,18-24,Female,Mobile,Suggested Videos,United States
24-01-25,Jan,3071,21,15,161,1629,35-44,Female,Mobile,Suggested Videos,United States
25-01-25,Jan,516,26,45,112,62,25-34,Female,Mobile,Suggested Videos,United States
26-01-25,Jan,4045,14,10,291,748,35-44,Male,Desktop,YouTube Search,United States
27-01-25,Jan,2787,18,3,183,2241,18-24,Male,Mobile,Browse Features,United States
28-01-25,Jan,795,10,50,283,1571,35-44,Male,Mobile,Suggested Videos,United States
29-01-25,Jan,3968,27,15,67,380,35-44,Male,Mobile,Suggested Videos,United States
30-01-25,Jan,3440,28,19,255,1281,25-34,Female,Mobile,External,United States
31-01-25,Jan,4963,14,22,196,1200,25-34,Female,Mobile,External,United States
01-02-25,Feb,3826,26,23,303,464,18-24,Male,TV,External,United States
02-02-25,Feb,612,32,16,313,2357,18-24,Male,Mobile,YouTube Search,United States
03-02-25,Feb,886,25,40,297,83,18-24,Male,Tablet,Suggested Videos,United States
04-02-25,Feb,1621,10,33,282,15,25-34,Female,Mobile,Suggested Videos,United States
05-02-25,Feb,4148,36,10,306,241,18-24,Female,Desktop,Suggested Videos,United States
06-02-25,Feb,4820,34,29,276,1643,25-34,Male,Desktop,YouTube Search,United States
07-02-25,Feb,4831,12,37,80,1640,35-44,Female,Desktop,Suggested Videos,United States
08-02-25,Feb,4349,35,8,294,1437,18-24,Male,Tablet,Suggested Videos,United States
09-02-25,Feb,2946,27,40,74,2125,18-24,Male,Mobile,Browse Features,United States
10-02-25,Feb,2727,38,36,281,640,13-17,Male,Mobile,External,United States
11-02-25,Feb,4814,5,10,96,1672,18-24,Male,Tablet,Direct,United States
12-02-25,Feb,581,36,19,327,1493,18-24,Female,TV,YouTube Search,United States
13-02-25,Feb,3986,22,2,175,823,18-24,Male,Mobile,YouTube Search,United States
14-02-25,Feb,4137,33,3,236,1484,25-34,Female,Mobile,Browse Features,United States
15-02-25,Feb,677,17,-4,196,1209,18-24,Female,Mobile,YouTube Search,United States
16-02-25,Feb,3294,29,38,294,2115,25-34,Female,Desktop,Browse Features,United States
17-02-25,Feb,734,6,14,299,1728,25-34,Male,Mobile,Suggested Videos,United States
18-02-25,Feb,1820,25,-1,296,1029,25-34,Male,Desktop,YouTube Search,United States
19-02-25,Feb,1406,16,30,86,692,13-17,Male,Mobile,External,United States
20-02-25,Feb,3252,11,-2,113,1432,25-34,Female,Mobile,External,United States
21-02-25,Feb,2752,22,11,437,645,13-17,Male,Mobile,YouTube Search,United States
22-02-25,Feb,4336,20,30,169,2264,35-44,Male,Mobile,YouTube Search,United States
23-02-25,Feb,2102,15,41,367,23,25-34,Male,Mobile,External,United States
24-02-25,Feb,1075,25,21,188,2408,18-24,Female,TV,Suggested Videos,United States
25-02-25,Feb,1570,36,8,293,918,25-34,Male,Mobile,YouTube Search,United States
26-02-25,Feb,4582,30,4,310,1130,25-34,Female,Mobile,YouTube Search,United States
27-02-25,Feb,1332,26,0,71,794,25-34,Female,Mobile,YouTube Search,United States
28-02-25,Feb,3023,8,22,212,1871,45-54,Female,TV,Suggested Videos,United States
01-03-25,Mar,3544,30,7,232,2137,18-24,Male,Mobile,External,United States
02-03-25,Mar,3842,8,-4,187,2110,35-44,Male,Mobile,Suggested Videos,United States
03-03-25,Mar,4122,14,6,449,14,25-34,Male,Mobile,Direct,United States
04-03-25,Mar,569,29,1,284,982,45-54,Male,Mobile,Suggested Videos,United States
05-03-25,Mar,1913,24,27,405,1062,25-34,Female,Mobile,External,United States
06-03-25,Mar,2672,45,11,444,1747,18-24,Male,Mobile,Channel Pages,United States
07-03-25,Mar,2670,40,-5,250,1572,25-34,Male,Tablet,External,United States
08-03-25,Mar,1082,34,23,332,1887,45-54,Male,Mobile,Suggested Videos,United States
09-03-25,Mar,864,40,13,34,553,35-44,Male,Mobile,YouTube Search,United States
10-03-25,Mar,3179,25,38,388,770,25-34,Female,Desktop,YouTube Search,United States
11-03-25,Mar,4974,22,18,328,859,45-54,Female,Mobile,Suggested Videos,United States
12-03-25,Mar,3837,5,44,182,1773,35-44,Male,Mobile,YouTube Search,United States
13-03-25,Mar,1624,24,29,76,691,18-24,Female,Mobile,Suggested Videos,United States
14-03-25,Mar,4810,5,7,365,1108,25-34,Male,Mobile,Suggested Videos,United States
15-03-25,Mar,867,8,45,340,439,35-44,Female,Mobile,Browse Features,United States
16-03-25,Mar,1106,26,35,205,1146,13-17,Male,Mobile,Suggested Videos,United States
17-03-25,Mar,1361,22,1,377,643,55+,Male,Desktop,Browse Features,United States
18-03-25,Mar,2887,33,-3,384,2386,13-17,Male,Desktop,Browse Features,United States
19-03-25,Mar,1048,39,41,63,1233,45-54,Female,TV,YouTube Search,United States
20-03-25,Mar,1554,27,33,301,1383,13-17,Male,Mobile,Direct,United States
21-03-25,Mar,1501,14,35,179,73,18-24,Female,Tablet,Suggested Videos,United States
22-03-25,Mar,2557,13,40,385,1745,18-24,Female,Mobile,YouTube Search,United States
23-03-25,Mar,1945,43,33,444,2032,55+,Male,Mobile,External,United States
24-03-25,Mar,606,24,31,180,1031,13-17,Male,Mobile,YouTube Search,United States
25-03-25,Mar,1985,40,0,136,1362,13-17,Male,Mobile,Suggested Videos,United States
26-03-25,Mar,1785,24,29,427,798,25-34,Male,Mobile,YouTube Search,United States
27-03-25,Mar,622,38,25,101,285,18-24,Male,Mobile,YouTube Search,United States
28-03-25,Mar,1617,45,23,296,1986,35-44,Male,Mobile,YouTube Search,United States
29-03-25,Mar,1109,42,38,225,98,25-34,Male,Mobile,Suggested Videos,United States
30-03-25,Mar,3466,27,33,362,1695,25-34,Female,Desktop,Suggested Videos,United States
31-03-25,Mar,1677,35,-1,85,2381,35-44,Male,Mobile,YouTube Search,United States
01-04-25,Apr,1727,31,9,321,2278,35-44,Male,Mobile,External,United States
02-04-25,Apr,3265,20,-4,319,91,25-34,Male,Desktop,External,United States
03-04-25,Apr,4191,19,-1,235,2160,45-54,Female,Mobile,YouTube Search,United States
04-04-25,Apr,2726,35,48,399,314,25-34,Male,Mobile,Channel Pages,United States
05-04-25,Apr,2077,24,50,20,1560,18-24,Male,Mobile,Suggested Videos,United States
06-04-25,Apr,4447,10,-2,225,1457,18-24,Male,Mobile,YouTube Search,United States
07-04-25,Apr,2541,6,30,230,1252,13-17,Male,Tablet,Suggested Videos,United States
08-04-25,Apr,2249,42,4,174,1423,35-44,Female,Desktop,External,United States
09-04-25,Apr,2505,13,22,278,735,18-24,Male,Tablet,YouTube Search,United States
10-04-25,Apr,4596,31,11,431,146,25-34,Male,Desktop,Browse Features,United States
11-04-25,Apr,2556,9,19,358,134,55+,Male,Mobile,YouTube Search,United States
12-04-25,Apr,4167,31,28,23,666,18-24,Male,Desktop,Browse Features,United States
13-04-25,Apr,3492,31,3,393,688,18-24,Male,Mobile,External,United States
14-04-25,Apr,3375,35,45,164,644,18-24,Male,Desktop,Browse Features,United States
15-04-25,Apr,1514,30,45,414,1358,25-34,Male,Mobile,YouTube Search,United States
16-04-25,Apr,3184,37,21,22,772,18-24,Male,Tablet,Browse Features,United States
17-04-25,Apr,2543,35,41,390,1830,18-24,Female,Mobile,YouTube Search,United States
18-04-25,Apr,4920,5,10,170,1986,25-34,Female,Mobile,Suggested Videos,United States
19-04-25,Apr,4632,44,5,388,1050,25-34,Female,Mobile,Browse Features,United States
20-04-25,Apr,4682,45,12,192,1868,35-44,Female,Mobile,External,United States
21-04-25,Apr,779,20,4,191,683,13-17,Male,Tablet,External,United States
22-04-25,Apr,1171,31,42,324,375,25-34,Male,Mobile,YouTube Search,United States
23-04-25,Apr,2645,39,-2,300,1459,18-24,Male,Mobile,Suggested Videos,United States
24-04-25,Apr,4075,13,42,410,1370,45-54,Female,Mobile,Channel Pages,United States
25-04-25,Apr,1572,39,15,29,1267,18-24,Male,Mobile,YouTube Search,United States
26-04-25,Apr,4284,20,18,412,105,45-54,Female,Desktop,YouTube Search,United States
27-04-25,Apr,524,5,22,324,1127,18-24,Male,Desktop,YouTube Search,United States
28-04-25,Apr,2590,36,-2,192,1327,25-34,Male,Desktop,Suggested Videos,United States
29-04-25,Apr,4253,41,28,72,730,45-54,Male,Mobile,YouTube Search,United States
30-04-25,Apr,4117,24,28,145,1439,35-44,Female,Mobile,Browse Features,United States
01-05-25,May,4920,43,44,369,9,18-24,Female,Mobile,Suggested Videos,India
02-05-25,May,1994,43,10,413,724,35-44,Female,Mobile,YouTube Search,India
03-05-25,May,794,41,41,231,1208,45-54,Female,Mobile,External,India
04-05-25,May,3915,17,43,304,1820,35-44,Male,Mobile,Suggested Videos,India
05-05-25,May,1424,3,6,288,2116,25-34,Male,Desktop,YouTube Search,India
06-05-25,May,1545,33,1,215,1915,18-24,Male,Mobile,YouTube Search,India
07-05-25,May,3372,22,37,370,193,55+,Male,Mobile,Channel Pages,India
08-05-25,May,4570,11,24,71,1450,35-44,Male,Mobile,Channel Pages,India
09-05-25,May,2381,31,13,252,2201,18-24,Female,Mobile,Channel Pages,India
10-05-25,May,3944,37,28,386,319,35-44,Male,Mobile,Direct,India
11-05-25,May,3279,31,47,447,1567,35-44,Male,TV,Suggested Videos,India
12-05-25,May,3724,39,24,67,1915,35-44,Male,TV,External,India
13-05-25,May,4606,21,42,386,2492,25-34,Male,Tablet,Direct,India
14-05-25,May,2996,11,20,304,464,35-44,Male,Desktop,Suggested Videos,India
15-05-25,May,4581,28,35,374,943,18-24,Male,Mobile,Suggested Videos,India
16-05-25,May,4560,14,44,60,2275,35-44,Male,Mobile,Direct,India
17-05-25,May,4845,18,27,394,1194,25-34,Male,Desktop,Suggested Videos,India
18-05-25,May,3953,9,9,174,1628,35-44,Male,Mobile,Browse Features,India
19-05-25,May,3275,43,24,418,1362,35-44,Male,Tablet,Browse Features,India
20-05-25,May,4208,45,3,322,1641,45-54,Male,Mobile,Suggested Videos,India
21-05-25,May,626,17,30,128,1675,25-34,Male,Desktop,Channel Pages,India
22-05-25,May,3188,24,-1,36,956,55+,Male,Mobile,Direct,India
23-05-25,May,1925,15,27,360,1816,25-34,Male,Desktop,External,India
24-05-25,May,1032,45,36,329,2341,35-44,Male,Mobile,Suggested Videos,India
25-05-25,May,1005,12,34,307,1848,35-44,Female,Mobile,Suggested Videos,India
26-05-25,May,4927,6,2,136,92,18-24,Female,Mobile,Browse Features,India
27-05-25,May,1460,44,47,253,2397,25-34,Male,TV,Suggested Videos,India
28-05-25,May,4959,35,6,407,1483,45-54,Female,Mobile,Browse Features,India
29-05-25,May,3935,7,6,273,1799,18-24,Male,Tablet,Suggested Videos,India
30-05-25,May,4272,45,16,366,247,25-34,Male,Mobile,Channel Pages,India
31-05-25,May,3748,42,22,114,2456,35-44,Male,TV,YouTube Search,India
01-06-25,Jun,3637,10,28,360,1213,25-34,Male,Mobile,YouTube Search,India
02-06-25,Jun,1850,41,15,204,1347,25-34,Female,TV,Suggested Videos,India
03-06-25,Jun,3728,29,39,376,367,25-34,Male,Mobile,Suggested Videos,India
04-06-25,Jun,2662,6,32,425,1534,18-24,Male,Mobile,External,India
05-06-25,Jun,3455,5,21,388,2086,45-54,Female,Mobile,External,India
06-06-25,Jun,3100,18,44,197,1863,18-24,Male,Mobile,YouTube Search,India
07-06-25,Jun,1047,24,21,80,1017,35-44,Female,Mobile,Browse Features,India
08-06-25,Jun,2973,34,46,319,1964,45-54,Female,Mobile,Channel Pages,India
09-06-25,Jun,2597,12,47,274,718,18-24,Female,Desktop,Browse Features,India
10-06-25,Jun,4565,12,47,188,1536,45-54,Male,Desktop,YouTube Search,India
11-06-25,Jun,1903,4,30,249,26,18-24,Male,Desktop,Suggested Videos,India
12-06-25,Jun,3668,36,20,397,506,35-44,Male,Mobile,Suggested Videos,India
13-06-25,Jun,4851,23,16,73,2026,25-34,Male,Mobile,YouTube Search,India
14-06-25,Jun,3835,22,5,114,652,13-17,Female,Mobile,Browse Features,India
